date,trial_name,actor_code,actor_sex,actor_host,receiver_code,receiver_sex,receiver_host,duration,successful_copulation,within_sex,within_pop,notes
7/16/18,HxA_C_04,WC,M,Haw,C,F,Haw,6209,Yes,N,within,
7/16/18,HxA_C_04,G,M,Haw,CY,F,App,830,Yes,N,between,
7/16/18,HxA_C_04,B,M,App,CB,F,App,1546,Yes,N,within,
7/16/18,HxA_C_04,G,M,Haw,WG,F,Haw,1530,Yes,N,within,
7/16/18,HxA_C_04,G,M,Haw,CY,F,App,1030,Yes,N,between,
7/16/18,HxA_C_04,CG,M,App,WG,F,Haw,1215,Yes,N,between,
7/16/18,HxA_C_04,B,M,App,GB,F,Haw,1065,Yes,N,between,
7/16/18,HxA_C_04,R,M,App,CR,F,Haw,1673,Yes,N,between,
7/16/18,HxA_C_04,B,M,App,YR,F,App,916,Yes,N,within,
7/16/18,HxA_C_04,CG,M,App,CR,F,Haw,2241,Yes,N,between,
7/16/18,HxA_C_04,WC,M,Haw,C,F,Haw,1995,Yes,N,within,
7/16/18,HxA_C_05,C,M,Haw,YR,F,Haw,2640,Yes,N,within,
7/16/18,HxA_C_05,YG,M,App,GB,F,App,1691,Yes,N,within,
7/16/18,HxA_C_05,WC,M,Haw,CG,F,Haw,1609,Yes,N,within,
7/16/18,HxA_C_05,WC,M,Haw,CG,F,Haw,1632,Yes,N,within,
7/18/18,HxA_C_06,WC,M,App,Y,F,App,30,No,N,within,
7/18/18,HxA_C_06,R,M,Haw,YR,F,Haw,780,Yes,N,within,
7/18/18,HxA_C_06,G,M,App,C,F,App,610,Yes,N,within,
7/18/18,HxA_C_06,WC,M,App,B,F,Haw,1536,Yes,N,between,
7/18/18,HxA_C_06,CY,M,Haw,G,F,Haw,1165,Yes,N,within,
7/18/18,HxA_C_06,R,M,Haw,CB,F,Haw,2878,Yes,N,within,
7/18/18,HxA_C_06,CY,M,Haw,YR,F,Haw,1943,Yes,N,within,
7/18/18,HxA_C_06,GR,M,Haw,G,F,Haw,2173,Yes,N,within,
7/18/18,HxA_C_06,W,M,App,B,F,Haw,1801,Yes,N,between,
7/18/18,HxA_C_06,WC,M,App,YR,F,Haw,2988,Yes,N,between,changed CY to YR to match OG datasheet (see notion)
7/18/18,HxA_C_06,W,M,App,G,F,Haw,1385,Yes,N,between,
7/23/18,HxA_C_07,YG,M,Haw,WC,F,App,6922,Yes,N,between,
7/23/18,HxA_C_07,WY,M,App,B,F,Haw,1677,Yes,N,between,
7/23/18,HxA_C_07,YR,M,App,Y,F,Haw,3365,Yes,N,between,
7/23/18,HxA_C_07,WR,M,Haw,B,F,Haw,2930,Yes,N,within,
7/23/18,HxA_C_07,CG,M,App,Y,F,Haw,530,Yes,N,between,
7/23/18,HxA_C_07,YR,M,App,GB,F,App,2067,Yes,N,within,
7/23/18,HxA_C_07,YG,M,Haw,WC,F,App,298,Yes,N,between,
7/25/18,HxA_C_08,CY,M,Haw,WC,F,Haw,2791,Yes,N,within,
7/25/18,HxA_C_08,CR,M,App,WR,F,App,3370,Yes,N,within,
7/25/18,HxA_C_08,CY,M,Haw,W,F,Haw,1784,Yes,N,within,
7/25/18,HxA_C_08,CY,M,Haw,R,F,App,851,Yes,N,between,
7/30/18,HxA_C_09,GB,M,Haw,WB,F,Haw,3570,Yes,N,within,
7/30/18,HxA_C_09,WC,M,Haw,WY,F,Haw,1820,Yes,N,within,
7/30/18,HxA_C_09,Y,M,App,CY,F,App,2344,Yes,N,within,
7/30/18,HxA_C_09,G,M,App,WY,F,Haw,2118,Yes,N,between,
7/30/18,HxA_C_09,GB,M,Haw,CR,F,Haw,3179,Yes,N,within,
7/30/18,HxA_C_09,YB,M,Haw,CY,F,App,2009,Yes,N,between,
7/30/18,HxA_C_09,G,M,App,YR,F,Haw,1633,Yes,N,between,
7/30/18,HxA_C_09,GB,M,Haw,CB,F,App,1759,Yes,N,between,
7/30/18,HxA_C_09,WC,M,Haw,WG,F,App,85,Yes,N,between,
7/30/18,HxA_C_10,CY,M,Haw,WG,F,Haw,43,No,N,within,
7/30/18,HxA_C_10,G,M,Haw,CR,F,App,1601,Yes,N,between,
7/30/18,HxA_C_10,WR,M,App,YR,F,App,1342,Yes,N,within,
7/30/18,HxA_C_10,G,M,Haw,YB,F,Haw,1380,Yes,N,within,
